open_time,open,high,low,close,volume,avg_candle_size,ATR
2024-10-01 00:00:00,63309.0,63428.0,63305.0,63423.7,575.602,35.24599999999971,
2024-10-01 00:01:00,63423.7,63491.1,63380.8,63380.8,640.452,35.24599999999971,
2024-10-01 00:02:00,63380.8,63380.8,63290.8,63327.2,450.107,35.24599999999971,
2024-10-01 00:03:00,63327.2,63330.3,63260.1,63317.3,346.579,35.24599999999971,
2024-10-01 00:04:00,63317.2,63355.0,63315.2,63315.2,160.253,35.24599999999971,
2024-10-01 00:05:00,63315.3,63360.5,63300.0,63300.5,237.423,35.24599999999971,
2024-10-01 00:06:00,63300.6,63347.2,63300.5,63336.8,83.233,35.24599999999971,
2024-10-01 00:07:00,63336.9,63371.4,63333.0,63371.4,99.441,35.24599999999971,
2024-10-01 00:08:00,63371.4,63383.0,63333.0,63333.0,193.441,35.24599999999971,
2024-10-01 00:09:00,63333.0,63338.4,63275.4,63317.0,144.165,35.24599999999971,
2024-10-01 00:10:00,63317.0,63360.2,63233.0,63285.0,594.308,35.24599999999971,
2024-10-01 00:11:00,63285.0,63295.9,63230.8,63234.2,244.059,35.24599999999971,
2024-10-01 00:12:00,63234.1,63244.4,63200.0,63209.0,272.171,35.24599999999971,
2024-10-01 00:13:00,63209.0,63223.2,63183.6,63190.4,321.008,35.24599999999971,
2024-10-01 00:14:00,63190.4,63194.8,63140.1,63193.5,577.476,35.24599999999971,64.27857142857154
2024-10-01 00:15:00,63193.4,63193.5,63100.0,63107.5,439.713,35.24599999999971,66.36581632653072
2024-10-01 00:16:00,63107.4,63128.0,63077.1,63077.1,584.432,35.24599999999971,65.26111516035006
2024-10-01 00:17:00,63077.0,63180.0,63070.0,63178.4,214.045,35.24599999999971,68.45674979175362
2024-10-01 00:18:00,63178.5,63179.7,63092.9,63104.0,87.154,35.24599999999971,69.7669819494852
2024-10-01 00:19:00,63103.9,63104.0,63050.0,63075.5,238.355,35.24599999999971,68.6407689530934
2024-10-01 00:20:00,63075.4,63110.0,63050.2,63054.0,125.847,35.24599999999971,68.00928545644408
2024-10-01 00:21:00,63054.1,63059.7,63000.0,63000.0,401.34,35.24599999999971,67.41576506669786
2024-10-01 00:22:00,63000.0,63055.1,63000.0,63025.7,604.926,35.24599999999971,66.53606756193362
2024-10-01 00:23:00,63025.6,63090.6,63004.5,63070.8,270.539,35.24599999999971,67.93349130750968
2024-10-01 00:24:00,63070.7,63121.0,63049.6,63113.0,181.555,35.24599999999971,68.1810990712591
2024-10-01 00:25:00,63113.0,63261.0,63066.6,63235.2,505.394,35.24599999999971,77.19673485188355
2024-10-01 00:26:00,63235.2,63356.2,63228.8,63302.9,605.634,35.24599999999971,80.78268236246288
2024-10-01 00:27:00,63303.0,63340.0,63276.8,63276.8,189.873,35.24599999999971,79.5267764794296
2024-10-01 00:28:00,63276.8,63299.0,63254.4,63299.0,90.535,35.24599999999971,77.03200673089881
2024-10-01 00:29:00,63299.0,63345.8,63277.6,63332.7,170.801,35.24599999999971,76.40114910726349
2024-10-01 00:30:00,63332.7,63375.0,63318.1,63326.8,275.3,35.24599999999971,75.0082098853162
2024-10-01 00:31:00,63326.9,63415.5,63324.4,63366.4,165.849,35.24599999999971,76.15762346493638
2024-10-01 00:32:00,63366.4,63385.6,63320.3,63334.5,150.875,35.24599999999971,75.38207893172633
2024-10-01 00:33:00,63334.5,63353.1,63273.0,63273.0,98.578,35.24599999999971,75.71907329374577
2024-10-01 00:34:00,63272.9,63279.0,63231.4,63251.2,111.106,35.24599999999971,73.7105680584781
2024-10-01 00:35:00,63251.1,63279.0,63232.0,63277.1,73.235,35.24599999999971,71.80267034001538
2024-10-01 00:36:00,63277.1,63354.7,63253.1,63334.5,181.048,35.24599999999971,73.93105103001417
2024-10-01 00:37:00,63334.4,63344.4,63303.7,63335.0,61.258,35.24599999999971,71.55740452787062
2024-10-01 00:38:00,63335.0,63335.1,63296.0,63307.8,72.854,35.24599999999971,69.23901849016546
2024-10-01 00:39:00,63307.9,63310.6,63270.4,63282.7,55.346,35.24599999999971,67.16480288372487
2024-10-01 00:40:00,63282.7,63347.2,63282.7,63347.1,64.659,35.24599999999971,66.97445982060167
2024-10-01 00:41:00,63347.2,63381.9,63347.1,63353.6,88.377,35.24599999999971,64.67628411913033
2024-10-01 00:42:00,63353.6,63356.1,63324.2,63328.1,47.118,35.24599999999971,62.335120967763984
2024-10-01 00:43:00,63328.0,63401.0,63328.0,63390.4,74.836,35.24599999999971,63.09689804149513
2024-10-01 00:44:00,63390.3,63400.0,63380.0,63398.4,66.93,35.24599999999971,60.01854818138833
2024-10-01 00:45:00,63398.4,63415.6,63385.8,63404.7,191.919,35.24599999999971,57.860080454145994
2024-10-01 00:46:00,63404.6,63420.8,63403.6,63409.0,78.248,35.24599999999971,54.955788993135876
2024-10-01 00:47:00,63409.0,63464.5,63409.0,63420.9,148.327,35.24599999999971,54.99466120791188
2024-10-01 00:48:00,63420.9,63476.8,63420.8,63433.0,104.708,35.24599999999971,55.06647112163246
2024-10-01 00:49:00,63433.1,63433.1,63422.0,63430.1,27.348,35.24599999999971,51.92600889865861
2024-10-01 00:50:00,63430.1,63601.7,63427.0,63581.4,629.633,35.24599999999971,60.695579691611364
2024-10-01 00:51:00,63581.0,63584.9,63511.4,63532.0,260.19,35.24599999999971,61.61018114221055
2024-10-01 00:52:00,63532.6,63550.0,63500.0,63550.0,135.71,35.24599999999971,60.78088248919551
2024-10-01 00:53:00,63550.0,63550.0,63474.3,63474.8,87.394,35.24599999999971,61.84653373996706
2024-10-01 00:54:00,63474.8,63502.4,63464.9,63502.4,64.844,35.24599999999971,60.107495615683696
2024-10-01 00:55:00,63502.4,63550.0,63502.4,63516.8,77.595,35.24599999999971,59.214103071706184
2024-10-01 00:56:00,63516.9,63574.4,63513.7,63560.8,153.326,35.24599999999971,59.32023856658463
