open_time,open,high,low,close,volume
2024-10-01 00:00:00,63309.0,63428.0,63305.0,63423.7,575.602
2024-10-01 00:01:00,63423.7,63491.1,63380.8,63380.8,640.452
2024-10-01 00:02:00,63380.8,63380.8,63290.8,63327.2,450.107
2024-10-01 00:03:00,63327.2,63330.3,63260.1,63317.3,346.579
2024-10-01 00:04:00,63317.2,63355.0,63315.2,63315.2,160.253
2024-10-01 00:05:00,63315.3,63360.5,63300.0,63300.5,237.423
2024-10-01 00:06:00,63300.6,63347.2,63300.5,63336.8,83.233
2024-10-01 00:07:00,63336.9,63371.4,63333.0,63371.4,99.441
2024-10-01 00:08:00,63371.4,63383.0,63333.0,63333.0,193.441
2024-10-01 00:09:00,63333.0,63338.4,63275.4,63317.0,144.165
2024-10-01 00:10:00,63317.0,63360.2,63233.0,63285.0,594.308
2024-10-01 00:11:00,63285.0,63295.9,63230.8,63234.2,244.059
2024-10-01 00:12:00,63234.1,63244.4,63200.0,63209.0,272.171
2024-10-01 00:13:00,63209.0,63223.2,63183.6,63190.4,321.008
2024-10-01 00:14:00,63190.4,63194.8,63140.1,63193.5,577.476
2024-10-01 00:15:00,63193.4,63193.5,63100.0,63107.5,439.713
2024-10-01 00:16:00,63107.4,63128.0,63077.1,63077.1,584.432
2024-10-01 00:17:00,63077.0,63180.0,63070.0,63178.4,214.045
2024-10-01 00:18:00,63178.5,63179.7,63092.9,63104.0,87.154
2024-10-01 00:19:00,63103.9,63104.0,63050.0,63075.5,238.355
2024-10-01 00:20:00,63075.4,63110.0,63050.2,63054.0,125.847
2024-10-01 00:21:00,63054.1,63059.7,63000.0,63000.0,401.34
2024-10-01 00:22:00,63000.0,63055.1,63000.0,63025.7,604.926
2024-10-01 00:23:00,63025.6,63090.6,63004.5,63070.8,270.539
2024-10-01 00:24:00,63070.7,63121.0,63049.6,63113.0,181.555
2024-10-01 00:25:00,63113.0,63261.0,63066.6,63235.2,505.394
2024-10-01 00:26:00,63235.2,63356.2,63228.8,63302.9,605.634
2024-10-01 00:27:00,63303.0,63340.0,63276.8,63276.8,189.873
2024-10-01 00:28:00,63276.8,63299.0,63254.4,63299.0,90.535
2024-10-01 00:29:00,63299.0,63345.8,63277.6,63332.7,170.801
2024-10-01 00:30:00,63332.7,63375.0,63318.1,63326.8,275.3
2024-10-01 00:31:00,63326.9,63415.5,63324.4,63366.4,165.849
2024-10-01 00:32:00,63366.4,63385.6,63320.3,63334.5,150.875
2024-10-01 00:33:00,63334.5,63353.1,63273.0,63273.0,98.578
2024-10-01 00:34:00,63272.9,63279.0,63231.4,63251.2,111.106
2024-10-01 00:35:00,63251.1,63279.0,63232.0,63277.1,73.235
2024-10-01 00:36:00,63277.1,63354.7,63253.1,63334.5,181.048
2024-10-01 00:37:00,63334.4,63344.4,63303.7,63335.0,61.258
2024-10-01 00:38:00,63335.0,63335.1,63296.0,63307.8,72.854
2024-10-01 00:39:00,63307.9,63310.6,63270.4,63282.7,55.346
2024-10-01 00:40:00,63282.7,63347.2,63282.7,63347.1,64.659
2024-10-01 00:41:00,63347.2,63381.9,63347.1,63353.6,88.377
2024-10-01 00:42:00,63353.6,63356.1,63324.2,63328.1,47.118
2024-10-01 00:43:00,63328.0,63401.0,63328.0,63390.4,74.836
2024-10-01 00:44:00,63390.3,63400.0,63380.0,63398.4,66.93
2024-10-01 00:45:00,63398.4,63415.6,63385.8,63404.7,191.919
2024-10-01 00:46:00,63404.6,63420.8,63403.6,63409.0,78.248
2024-10-01 00:47:00,63409.0,63464.5,63409.0,63420.9,148.327
2024-10-01 00:48:00,63420.9,63476.8,63420.8,63433.0,104.708
2024-10-01 00:49:00,63433.1,63433.1,63422.0,63430.1,27.348
2024-10-01 00:50:00,63430.1,63601.7,63427.0,63581.4,629.633
2024-10-01 00:51:00,63581.0,63584.9,63511.4,63532.0,260.19
2024-10-01 00:52:00,63532.6,63550.0,63500.0,63550.0,135.71
2024-10-01 00:53:00,63550.0,63550.0,63474.3,63474.8,87.394
2024-10-01 00:54:00,63474.8,63502.4,63464.9,63502.4,64.844
2024-10-01 00:55:00,63502.4,63550.0,63502.4,63516.8,77.595
2024-10-01 00:56:00,63516.9,63574.4,63513.7,63560.8,153.326
2024-10-01 00:57:00,63560.7,63568.6,63487.6,63519.9,224.467
2024-10-01 00:58:00,63519.9,63526.5,63500.0,63526.5,41.343
2024-10-01 00:59:00,63526.4,63526.4,63504.5,63513.2,47.818
2024-10-01 01:00:00,63513.2,63528.0,63505.6,63506.0,109.461
2024-10-01 01:01:00,63506.0,63527.9,63452.2,63460.0,89.059
2024-10-01 01:02:00,63459.9,63493.5,63454.5,63488.0,76.201
2024-10-01 01:03:00,63488.1,63518.2,63480.2,63507.0,75.106
2024-10-01 01:04:00,63507.0,63611.0,63507.0,63600.0,165.117
2024-10-01 01:05:00,63600.0,63603.0,63526.6,63548.1,135.709
2024-10-01 01:06:00,63548.0,63627.5,63548.0,63616.0,192.473
2024-10-01 01:07:00,63615.9,63621.9,63598.1,63599.9,121.577
2024-10-01 01:08:00,63599.9,63599.9,63555.3,63575.8,117.173
2024-10-01 01:09:00,63575.9,63582.4,63540.0,63549.6,39.843
2024-10-01 01:10:00,63549.6,63609.2,63549.6,63600.0,55.177
2024-10-01 01:11:00,63600.1,63616.7,63591.3,63606.0,91.682
2024-10-01 01:12:00,63605.9,63616.0,63399.5,63542.5,733.202
2024-10-01 01:13:00,63542.6,63542.6,63345.7,63452.3,982.341
2024-10-01 01:14:00,63452.3,63488.4,63452.2,63488.4,106.269
2024-10-01 01:15:00,63488.3,63499.0,63450.0,63480.0,121.906
2024-10-01 01:16:00,63479.9,63545.3,63479.9,63539.9,113.743
2024-10-01 01:17:00,63539.9,63566.5,63500.1,63566.5,86.651
2024-10-01 01:18:00,63566.6,63571.4,63521.0,63521.0,45.606
2024-10-01 01:19:00,63521.0,63530.7,63484.2,63509.0,63.056
2024-10-01 01:20:00,63509.0,63527.2,63487.0,63492.2,52.278
2024-10-01 01:21:00,63492.1,63516.3,63481.6,63491.7,52.738
2024-10-01 01:22:00,63491.6,63500.0,63480.0,63481.3,64.586
2024-10-01 01:23:00,63481.3,63481.3,63460.0,63463.8,100.326
2024-10-01 01:24:00,63463.7,63480.1,63450.0,63469.3,79.878
2024-10-01 01:25:00,63469.3,63485.4,63450.0,63462.0,64.149
2024-10-01 01:26:00,63462.0,63478.0,63450.0,63454.0,47.274
2024-10-01 01:27:00,63454.0,63474.2,63450.0,63474.2,171.65
2024-10-01 01:28:00,63474.2,63544.0,63460.0,63544.0,81.647
2024-10-01 01:29:00,63544.0,63561.0,63521.5,63559.1,43.481
2024-10-01 01:30:00,63559.0,63582.1,63554.2,63569.9,70.037
2024-10-01 01:31:00,63569.9,63572.0,63536.6,63545.6,73.021
